module_path,module_name,crypto_algorithms,crypto_primitives,key_sizes,crypto_functions
/lib/modules/6.17.0-14-generic/kernel/sound/soc/codecs/snd-soc-adau7002.ko.zst,snd-soc-adau7002.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/sound/pci/emu10k1/snd-emu10k1.ko.zst,snd-emu10k1.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/arch/x86/crypto/curve25519-x86_64.ko.zst,curve25519-x86_64.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/net/wireless/cfg80211.ko.zst,cfg80211.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/net/ax25/ax25.ko.zst,ax25.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/net/6lowpan/nhc_udp.ko.zst,nhc_udp.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/net/ipv4/tcp_westwood.ko.zst,tcp_westwood.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/wireless/mediatek/mt76/mt7921/mt7921e.ko.zst,mt7921e.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/wireless/realtek/rtw88/rtw88_core.ko.zst,rtw88_core.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/wireless/ath/ath11k/ath11k.ko.zst,ath11k.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/ethernet/google/gve/gve.ko.zst,gve.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/ethernet/stmicro/stmmac/stmmac.ko.zst,stmmac.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/ethernet/qlogic/qed/qed.ko.zst,qed.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/ethernet/broadcom/bnxt/bnxt_en.ko.zst,bnxt_en.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/ethernet/mellanox/mlx5/core/mlx5_core.ko.zst,mlx5_core.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/net/dsa/sja1105/sja1105.ko.zst,sja1105.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/tty/serial/8250/8250_lpss.ko.zst,8250_lpss.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/infiniband/hw/mlx5/mlx5_ib.ko.zst,mlx5_ib.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/bus/mhi/host/mhi.ko.zst,mhi.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/media/usb/gspca/gspca_tv8532.ko.zst,gspca_tv8532.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/media/pci/bt8xx/bttv.ko.zst,bttv.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/media/i2c/sony-btf-mpx.ko.zst,sony-btf-mpx.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/media/i2c/adv7183.ko.zst,adv7183.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/media/i2c/saa7115.ko.zst,saa7115.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/gpu/drm/amd/amdgpu/amdgpu.ko.zst,amdgpu.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/gpu/drm/xe/xe.ko.zst,xe.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/gpu/drm/radeon/radeon.ko.zst,radeon.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/rtc/rtc-pcf2127.ko.zst,rtc-pcf2127.ko.zst,RSA,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/usb/musb/musb_hdrc.ko.zst,musb_hdrc.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/ipack/devices/ipoctal.ko.zst,ipoctal.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/iio/accel/bmc150-accel-core.ko.zst,bmc150-accel-core.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/ata/pata_sl82c105.ko.zst,pata_sl82c105.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/thunderbolt/thunderbolt.ko.zst,thunderbolt.ko.zst,AES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/crypto/intel/qat/qat_common/intel_qat.ko.zst,intel_qat.ko.zst,HMAC,MAC,unknown,
/lib/modules/6.17.0-14-generic/kernel/drivers/i2c/i2c-atr.ko.zst,i2c-atr.ko.zst,ECC,public-key,unknown,
/lib/modules/6.17.0-14-generic/kernel/zfs/zfs.ko.zst,zfs.ko.zst,"AES, DES, ECC, RSA","block cipher, public-key",unknown,
/lib/modules/6.17.0-14-generic/kernel/crypto/krb5/krb5.ko.zst,krb5.ko.zst,"AES, HMAC, SHA","MAC, block cipher, hash","1, 256",
/lib/modules/6.17.0-14-generic/kernel/fs/btrfs/btrfs.ko.zst,btrfs.ko.zst,"AES, ECC","block cipher, public-key",unknown,
/lib/modules/6.17.0-14-generic/kernel/fs/nfs/nfsv3.ko.zst,nfsv3.ko.zst,DES,block cipher,unknown,
/lib/modules/6.17.0-14-generic/kernel/fs/xfs/xfs.ko.zst,xfs.ko.zst,ECC,public-key,unknown,
